Designator,Footprint,Quantity,Value,LCSC Part #
BAT,BatteryHolder_Multicomp_BC-2001_1x2032,1,CR2032,
"C1, C2, C3, C4",1206,4,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",1206,16,LED,
ISP,PinHeader_2x03_P2.54mm_Vertical,1,ISP,
KEY,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Right,
R1,1206,1,1.5K,
"R2, R3, R4, R5",1206,4,1K,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny24A-SS,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,DS1302Z+,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,
Y1,Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal,1,Crystal,
