Designator,Mid X,Mid Y,Rotation,Layer
BAT,151.5,-100.5,0.0,bottom
C1,137.0,-94.5,90.0,top
C2,154.0,-96.5,180.0,top
C3,154.0,-93.0,180.0,top
C4,149.5,-122.5,0.0,top
D1,142.49375,-101.0,180.0,top
D10,148.50625,-109.0,180.0,top
D11,154.49375,-109.0,180.0,top
D12,160.50625,-109.0,180.0,top
D13,142.49375,-113.0,180.0,top
D14,148.50625,-113.0,180.0,top
D15,154.50625,-113.0,180.0,top
D16,160.50625,-113.0,180.0,top
D2,148.50625,-101.0,180.0,top
D3,154.50625,-101.0,180.0,top
D4,160.50625,-101.0,180.0,top
D5,142.50625,-105.0,180.0,top
D6,148.50625,-105.0,180.0,top
D7,154.49375,-105.0,180.0,top
D8,160.49375,-105.0,180.0,top
D9,142.49375,-109.0,180.0,top
ISP,162.46,-118.23,270.0,top
KEY,151.5,-118.5,180.0,top
R1,156.0,-122.5,0.0,top
R2,137.0,-100.5,135.0,top
R3,137.0,-104.5,135.0,top
R4,137.0,-108.5,135.0,top
R5,137.0,-112.5,135.0,top
U1,144.5,-94.5,0.0,top
U2,160.0,-94.5,0.0,top
U3,141.0,-119.5,180.0,top
Y1,166.0,-92.75,0.0,top
