Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",137.000000,-94.500000,90.000000,top
"C2","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",154.000000,-96.500000,180.000000,top
"C3","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",154.000000,-93.000000,180.000000,top
"C4","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",149.500000,-122.500000,0.000000,top
"D1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",142.493750,-101.000000,180.000000,top
"D2","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",148.506250,-101.000000,180.000000,top
"D3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",154.506250,-101.000000,180.000000,top
"D4","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",160.506250,-101.000000,180.000000,top
"D5","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",142.506250,-105.000000,180.000000,top
"D6","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",148.506250,-105.000000,180.000000,top
"D7","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",154.493750,-105.000000,180.000000,top
"D8","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",160.493750,-105.000000,180.000000,top
"D9","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",142.493750,-109.000000,180.000000,top
"D10","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",148.506250,-109.000000,180.000000,top
"D11","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",154.493750,-109.000000,180.000000,top
"D12","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",160.506250,-109.000000,180.000000,top
"D13","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",142.493750,-113.000000,180.000000,top
"D14","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",148.506250,-113.000000,180.000000,top
"D15","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",154.506250,-113.000000,180.000000,top
"D16","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",160.506250,-113.000000,180.000000,top
"R1","1.5K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.000000,-122.500000,0.000000,top
"R2","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.000000,-100.500000,135.000000,top
"R3","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.000000,-104.500000,135.000000,top
"R4","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.000000,-108.500000,135.000000,top
"R5","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.000000,-112.500000,135.000000,top
"SW1","SW_Right","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",151.500000,-118.500000,180.000000,top
"U1","ATtiny24A-SS","SOIC-14_3.9x8.7mm_P1.27mm",144.500000,-94.500000,90.000000,top
"U2","DS1302Z+","SOIC-8_3.9x4.9mm_P1.27mm",160.000000,-94.500000,90.000000,top
"U3","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",141.000000,-119.500000,-90.000000,top
